log_spread,time_ns,throughput_melem_s,work
8,4.2511,235.23,1
9,4.2319,236.30,1
10,4.2447,235.59,1
11,4.2447,235.59,1
12,4.7198,211.88,1
13,5.6230,177.84,1
14,7.4418,134.38,1
15,9.6370,103.77,1
16,10.264,97.425,1
17,11.949,83.689,1
18,14.742,67.835,1
19,21.598,46.301,1
20,31.372,31.875,1
21,40.443,24.726,1
22,47.511,21.048,1
23,53.846,18.572,1
24,54.820,18.242,1
25,57.316,17.447,1
26,59.033,16.940,1
27,59.494,16.808,1
28,60.476,16.536,1
29,60.231,16.603,1
30,61.809,16.179,1
8,110.60,289.33,32
9,110.60,289.33,32
10,110.61,289.30,32
11,110.65,289.22,32
12,110.67,289.16,32
13,110.77,288.88,32
14,111.15,287.89,32
15,111.73,286.40,32
16,113.41,282.17,32
17,115.02,278.20,32
18,116.94,273.63,32
19,117.20,273.05,32
20,119.12,268.63,32
21,123.03,260.11,32
22,136.28,234.81,32
23,110.59,289.35,32
24,110.59,289.35,32
25,174.67,183.20,32
26,176.32,181.49,32
27,176.83,180.96,32
28,175.13,182.72,32
29,175.55,182.28,32
30,177.19,180.60,32
